County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
New Madrid County,MO,18272,18956,-3.6,6.1,23.8,17.6,52.1,81.6,15.8,0.3,0.5,0.1,1.7,1.6,80.4,1681,0.9,76.9,12.3,8537,15,62.2,75400,7,7423,2.47,83.2,1.5,16.2,35793,21215,21.7,149,0,2880,5097,28850,28.1,674.84
Hernando County,FL,175855,172778,1.8,4.4,18.7,27.5,52.1,90.5,5.7,0.5,1.4,0.1,1.9,11.6,80.2,21514,6.5,86.5,15.5,84623,4.8,79.3,117400,378,70210,2.44,85.3,10.5,30,41024,21411,15.4,1661,3125,1779,16540,9789,365.6,472.54
Jackson Parish,LA,15994,16274,-1.7,5.6,22.3,18.3,49,69,29.1,0.3,0.2,0,1.4,1.5,67.7,1402,0.6,82.7,13.8,7748,6.4,66.7,77800,23,6090,2.54,81.1,1.5,29.9,37388,19188,20.6,78,0,0,1144,7594,28.6,569.18
St. James Parish,LA,21638,22102,-2.1,6.3,23.8,15.1,51.5,49.6,49.1,0.2,0.3,0,0.7,1.7,48.2,1347,1,83.4,13,8711,7.4,81.5,125000,47,7786,2.78,94.4,4.4,25.5,55443,24930,16.4,119,0,0,1629,7669,91.5,241.54
Clark County,IL,16180,16335,-0.9,5.8,22.8,18.7,50.8,98.1,0.5,0.2,0.3,0,0.8,1.4,96.8,1459,1,89.5,17.6,7739,7.6,75.6,87800,7,6568,2.44,88.6,2,21.8,47405,24296,12.3,170,6644,1760,1096,6513,32.6,501.42
Yankton County,SD,22684,22438,1.1,5.8,21.1,17.5,48.1,92.8,1.9,3,0.7,0,1.5,3.3,90.1,1706,1.9,91,26.4,9779,19.2,71.8,126700,88,8698,2.34,84.3,6.9,15.1,52578,27268,13.4,345,6352,0,2930,13498,43.1,521.16
Bienville Parish,LA,13885,14353,-3.3,6.3,23.1,19.1,52.2,56.1,41.8,0.4,0.3,0,1.4,1.6,54.9,1134,0.1,79.9,11.1,7724,8.3,71.6,58100,0,5668,2.45,88,1.6,28.2,31543,18958,26.9,65,0,0,587,3947,17.7,811.27
Garfield County,MT,1309,1206,8.3,5.7,22.9,22.6,50.1,98.7,0.3,0.4,0.1,0,0.5,1.2,97.5,97,0.2,91.7,13,848,2,76.3,113300,0,465,2.44,88.8,1.3,10.6,45096,25921,10.5,6,0,0,102,8583,0.3,4675.36
Bennett County,SD,3430,3431,0,9.6,33.6,12.3,52.2,34.8,0.4,58.8,0.6,0,5.4,3.4,33.6,198,0.6,76.8,15.9,1257,10.3,52.4,54300,1,1059,3.18,86.7,19.1,16.5,37607,16275,39.3,18,0,0,239,7031,2.9,1184.71
Marion County,IL,38571,39437,-2.2,6.3,23,18.4,51.1,93.3,4.1,0.3,0.6,0,1.6,1.8,91.8,3473,0.9,86.7,13.9,18118,10.7,75,70300,0,15893,2.41,85.8,2.5,21.6,41010,21887,18.1,367,6897,0,3457,8734,68.9,572.36
