County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
Holmes County,MS,18459,19198,-5.2,7.7,26.8,13.5,52.2,16.6,82.2,0.1,0.5,0,0.6,0.9,16.4,574,0.2,71.4,12.7,8415,7.3,71,49000,7,6511,2.81,91.9,0.6,25.7,22325,12113,43.5,55,2079,310,1143,5599,25.4,756.7
Ford County,KS,34795,33848,2.8,9.6,30.3,10.4,48.3,91.6,3,1.6,1.8,0.3,1.7,52.9,41.5,1519,25.4,69.7,16.7,12129,19.9,61.9,88800,43,11103,3.02,84.2,45.3,14.3,51178,19994,15.5,402,0,0,3957,12121,30.8,1098.27
Le Flore County,OK,49761,50384,-1.2,6.1,24,16.9,50,77.7,2.3,13.3,0.6,0.1,5.9,6.6,72.2,3805,3.5,80.5,12.9,21690,5,74.1,80100,77,18412,2.63,87.1,6,20.9,36542,18141,22.2,258,1474,0,3763,7583,31.7,1589.21
Christian County,MO,82101,77422,6,6.4,26.1,14.3,51.2,96.1,0.8,0.7,0.6,0.1,1.8,2.9,93.6,6611,1.9,91.6,25.9,32623,12.4,74,142600,390,29652,2.63,83.8,3.2,25.6,52838,25134,10.6,596,2556,1663,7167,9781,137.6,562.65
Las Animas County,CO,14052,15507,-9.4,5.1,19,22.3,48.4,91.4,1.8,3.5,1.1,0.1,2.1,42.5,52.7,1221,3.2,84.3,16.3,8244,10.1,69.4,151500,5,5992,2.43,85.2,14.4,21.2,42261,22180,17.8,223,0,516,1643,10393,3.2,4772.67
Wheeler County,OR,1375,1441,-4.6,4.1,15.6,33.2,49.2,93.2,0.1,1.7,0.7,0.3,4,5.2,88.7,164,0.8,88.6,16.8,888,0.9,72,123700,0,625,2,90,2,22.4,37974,24575,15.6,5,0,0,103,7419,0.8,1714.75
Tolland County,CT,151367,152691,-0.9,4,18.5,14,49.8,90.3,3.6,0.2,4.1,0.1,1.8,5,86.2,10916,6.9,93,36.9,58529,24.5,74.4,254800,203,54327,2.52,85.7,10.6,25.8,80529,34392,6.5,1730,10217,2143,12063,8140,372.2,410.21
Queens County,NY,2321580,2230722,4.1,6.3,20.4,13.6,51.5,49.1,20.8,1.3,25.8,0.2,2.8,28,26.2,56402,47.8,80.1,30,847706,71.6,44.2,450900,4900,778630,2.86,90.1,56.5,41.9,57001,26495,15,22233,56543,153084,145871,6404,20553.6,108.53
Hamilton County,TN,351220,336463,4.4,5.9,21.2,16,51.8,75.6,19.8,0.5,2.1,0.2,1.7,5.1,71.5,25822,4.9,86.3,27.2,154643,24.2,64.9,154200,2036,135496,2.45,83.8,6.7,21.5,46702,27229,16.6,6632,80406,29585,48656,14695,620.3,542.43
Chautauqua County,NY,132053,134905,-2.1,5.3,20.9,18.1,50.5,93.9,2.7,0.7,0.7,0,2,7,88,11745,2,87.4,20.7,66659,23.9,69.1,83500,212,54863,2.33,86,7.5,18,42429,22168,19.1,1811,44619,26213,13640,10178,127.2,1060.23
Grays Harbor County,WA,70818,72797,-2.7,5.6,21.1,18.9,48.7,87.7,1.4,5.4,1.5,0.3,3.6,9.8,79.8,7534,6,85.4,14.1,35258,13.6,69.3,157600,142,27396,2.52,82.9,9.7,24.1,42405,21828,19,1109,10569,0,7685,10773,38.3,1902.03
Grant County,WI,51829,51208,1.2,5.3,20.3,16.3,47.8,96.8,1.3,0.3,0.9,0,0.8,1.4,95.5,3248,1.3,89.8,19.1,21782,15.7,71.8,124800,82,19420,2.43,82.5,4.4,21.1,46963,21705,16.6,408,0,2106,4800,9798,44.7,1146.85
Alleghany County,VA,15820,16250,-2.7,4.3,19.1,24.3,50.8,92.9,4.8,0.2,0.5,0.1,1.5,1.4,91.8,1435,1.4,82.7,16.4,8048,8.2,79.9,114600,17,6773,2.35,89.7,2.3,23.4,44848,24162,12.6,110,0,21,1231,7491,36.5,445.46
Clay County,KS,8317,8535,-2.6,6.4,23.2,21.9,50.3,97,0.7,0.5,0.4,0.1,1.4,2.6,94.7,962,0.7,95.2,20.7,4048,10.4,76.6,85700,22,3407,2.45,89,2.9,18.1,45233,24503,14,55,0,992,760,8756,13.2,645.3
Mercer County,ND,8746,8424,3.8,6.4,22.3,17,48.1,95.4,0.4,2.4,0.3,0.1,1.4,2.5,93.6,754,0.6,88.8,20.5,4672,10.9,82.9,113600,14,3650,2.28,86.5,7.3,17.7,66534,31767,7.3,81,0,0,857,10763,8.1,1042.96
Clay County,AL,13552,13932,-2.7,5.3,21.6,19.4,50.6,82.8,14.5,0.6,0.3,0,1.8,3.4,79.7,1076,2.2,76.5,9.2,6736,10,75,79900,0,5649,2.38,88.3,3.3,30.7,34002,18694,19,43,3308,0,705,5123,23.1,603.96
Trigg County,KY,14142,14339,-1.3,5.3,21.7,21.2,51.1,89.6,7.7,0.4,0.4,0,1.8,1.7,88.3,1650,1.2,82.2,18.4,7836,5.6,81.2,115000,2,5935,2.38,87.9,6.7,23.2,45629,25527,16.1,112,2351,0,708,5317,32.5,441.43
Brewster County,TX,9173,9232,-0.6,6.3,19.6,19.4,50.1,93.6,1.4,1.7,1.2,0.1,1.9,43.1,53,696,5.5,84.8,36.1,5429,10.2,60.7,111000,11,4152,2.18,77.1,39,12.5,40477,27796,12.4,254,0,203,868,9461,1.5,6183.73
Siskiyou County,CA,43628,44900,-2.8,5.4,20.3,22.7,50.3,87.2,1.4,4.7,1.3,0.3,5,11.9,77.5,4744,5.4,89,23.9,24106,13.4,62.7,200800,19,19417,2.26,82.8,9.7,18.8,37709,22293,21,785,2578,1690,4033,9120,7.2,6277.89
Van Zandt County,TX,52910,52579,0.6,5.6,23.5,19.8,50.9,93.8,3.1,1,0.5,0.1,1.6,10.2,84.4,4789,4.4,81.2,13.5,22876,4.5,77.9,96900,89,19064,2.71,89.5,8,33.2,43439,21920,16.4,329,1198,501,4105,7915,62.4,842.56
Shasta County,CA,179804,177223,1.5,5.8,21.6,19.2,51,88.5,1.1,3.1,3,0.2,4.2,9.4,80.9,17765,5.2,88.4,18.8,77915,16,64.2,220000,242,68980,2.54,82.4,8.7,20.1,44651,23670,17.5,2809,6629,8290,25264,14088,46.9,3775.4
Bingham County,ID,45269,45607,-0.7,8.6,31.7,12.9,49.8,89.4,0.5,7.5,0.7,0.2,1.8,17.8,74.4,2887,7.1,84.6,17.3,16225,9.7,74.8,135400,88,14650,3.08,85.9,16,21.1,47941,18872,15.2,242,6245,0,3399,7822,21.8,2093.98
Dickens County,TX,2218,2444,-9.2,6.2,18.9,20.9,42.4,88.7,6,2.1,1.1,0.1,2,29.5,62.8,220,3.5,77.4,13.5,1282,2.5,76.8,48400,0,913,2.28,75.7,14.4,15.9,38401,20578,18.8,9,0,0,113,4577,2.7,901.72
Lamar County,MS,60099,55658,7.9,6.9,25.8,11.6,51.8,76.4,20.6,0.3,1.3,0.1,1.2,2.5,74.4,3884,2.2,90.3,33.1,24261,22.3,65.8,163900,0,21678,2.6,80.6,3.3,24.9,51154,26345,17.4,1034,0,0,9918,20858,112,497.06
Pasquotank County,NC,39787,40661,-2.1,6.1,21.6,15.5,50.8,58.5,37.3,0.5,1.5,0.1,2.1,4.7,54.9,3941,2.9,83.7,20.1,16900,16.3,63.7,171600,63,14399,2.65,82.9,5.3,24.1,46053,22745,18.4,647,0,1487,6943,17009,179.2,226.88
Suffolk County,MA,767254,722023,6.3,5.7,17.3,11,51.7,62.4,24.7,0.8,8.9,0.2,3.1,21.8,46.7,23808,27.4,83.9,40.4,318302,80.5,35.5,358700,3323,288240,2.39,79,37.4,29,53540,32835,20.8,37958,37034,89148,75657,10381,12415.7,58.15
Wharton County,TX,41168,41280,-0.3,6.7,25.9,15.8,50.7,83.6,14.1,0.7,0.6,0.1,0.9,39.7,45.8,2001,8.4,74.7,14.6,17371,12.7,68,95600,19,14517,2.8,92.3,26.6,22.9,40411,20310,18.8,459,4639,5411,4667,11439,38,1086.15
Cook County,MN,5233,5176,1.1,4,16.3,24.3,50.5,86.9,0.6,9,0.7,0.1,2.6,1.9,85.8,525,3.1,94.8,37.4,5965,8.5,73.1,240500,39,2614,1.96,86.4,5.5,16.7,52215,32868,8.3,403,0,0,618,11420,3.6,1452.28
Saluda County,SC,20026,19875,0.8,6.3,22,18.3,49.6,69.7,26.2,1.5,0.3,1,1.3,14.9,58,1446,9.4,76.8,12.4,9266,2.8,72.8,90400,26,7020,2.79,90.4,13.4,29,38514,19725,21.5,43,0,0,733,3870,43.9,452.78
Haywood County,TN,18185,18787,-3.2,5.8,23.7,16.1,53.5,48.6,49.9,0.4,0.2,0,1,4.2,45.2,1101,1.6,75.9,11.4,8407,13.2,60.8,94500,18,7099,2.58,89.2,3.4,22.3,34542,18714,21.1,139,6314,742,1806,9425,35.2,533.11
Whitfield County,GA,103542,102599,0.9,7.1,27,12.7,50.3,90.8,4.4,1.4,1.6,0.2,1.6,33.3,60.1,5376,17.8,69.1,14,39642,19.5,65.7,122800,99,34450,2.95,84.4,30,20.1,40471,19497,20.5,1447,75249,13519,14402,15535,353.2,290.46
Brooks County,GA,15418,16243,-5.6,6.7,21.9,18.6,51.2,62.2,35.4,0.4,0.6,0.2,1.2,5.6,57.6,1533,3.2,77.4,11.4,7659,5.9,67.6,101400,15,6573,2.39,87.2,6.8,23,34419,19409,24,0,0,658,881,5394,32.9,493.05
Newton County,TX,14138,14445,-2.1,5.6,21.7,17.7,48.4,76.9,20.1,0.8,0.7,0,1.5,3.6,73.8,1518,2.3,85.1,7.5,7157,2.4,76.8,77500,0,4865,2.87,89.2,3.8,33.7,37246,20431,16.1,18,0,99,509,3704,15.5,933.68
Jessamine County,KY,50815,48586,4.6,6.7,24.8,13.4,51.4,93.1,3.5,0.3,1.2,0,1.8,2.9,90.5,3237,3.1,84.6,27.4,19910,14.7,66,154300,187,18012,2.63,80,4.1,24.1,49024,25637,16.9,464,10155,0,7316,16060,282.3,172.12
Androscoggin County,ME,107440,107702,-0.2,6.1,22,16,50.9,92.8,3.8,0.4,0.8,0,2.1,1.7,91.4,10223,3.1,87.9,18.8,49142,31.5,64.6,154800,91,44006,2.37,84.8,12.1,23.2,44921,24442,15.6,1497,21861,4445,17042,15973,230.2,467.93
Washington County,KS,5598,5799,-3.5,5.5,22.7,23.6,49.6,97.4,0.6,0.5,0.4,0,1,3.4,94.4,514,2.3,90.3,16.1,2950,6.9,79.4,58300,2,2487,2.26,92.2,3.1,17.9,42515,22621,10.2,24,0,1112,347,5992,6.5,894.76
Lee County,VA,24951,25587,-2.5,5.1,19.3,18.8,47.7,94.2,4.2,0.4,0.3,0,0.9,1.8,92.8,1823,1.1,74.2,11.7,11715,5.7,74.3,74300,16,9653,2.49,89.8,3,28.4,31308,16664,26.8,85,0,274,1715,6868,58.8,435.52
Utah County,UT,560974,516564,8.6,10.2,34.9,7.2,49.6,93.5,0.7,0.8,1.6,0.9,2.4,11.2,83.3,17282,7.2,93.6,36.5,157455,22.2,67.9,222100,5257,143005,3.61,78.1,13.1,21.1,60196,20774,14,4516,0,24249,57721,11254,257.8,2003.45
Iron County,MI,11387,11817,-3.6,4.2,16.5,28.2,50.6,96.6,0.3,1.2,0.3,0,1.5,1.7,95.2,1476,1.8,89.2,18.4,9262,6.8,84.5,75100,20,5289,2.13,92.7,3.6,19.5,34685,21499,14.2,116,0,186,1013,8496,10.1,1166.15
Alameda County,CA,1610921,1510271,6.7,6.1,21.4,12.5,51,51.7,12.1,1.1,28.9,1,5.2,22.7,32.8,63738,30.8,86.4,41.8,592355,38.2,53.2,493800,3438,545071,2.76,84.1,43.1,28.8,72112,35763,12.5,28077,252368,356740,179090,12359,2043.6,739.02
Mississippi County,AR,44235,46480,-4.8,7,26.7,13.4,51.3,62.8,34.9,0.5,0.5,0,1.3,4,59.4,3002,1.8,77.8,13,20506,17.3,58.8,75300,30,17058,2.64,82.1,4.2,18.2,36428,18905,24.9,458,50102,0,4218,9051,51.6,900.57
El Dorado County,CA,183087,181058,1.1,4.4,20.9,18,49.9,89.8,1,1.3,4,0.2,3.6,12.7,78.7,16792,8.7,93.2,32,88866,11.8,74.8,359500,190,67885,2.64,85.5,12.5,28.8,69297,34884,9,3017,6622,3636,16197,9216,106,1707.88
Lake County,MN,10680,10866,-1.7,5,18.8,24.6,49.1,97.2,0.5,0.6,0.4,0,1.3,1.5,95.8,1264,1.8,93.9,21.5,7816,6.1,82.6,153200,50,4982,2.11,87,2.4,21.9,46939,27883,13.6,339,1567,0,1197,11121,5.2,2109.29
Charlevoix County,MI,26121,25949,0.7,4.8,20.3,21.5,50.6,95.6,0.5,1.6,0.5,0,1.7,1.8,94.1,2356,2.4,91.6,27,17366,11.7,81.6,151400,67,10667,2.41,89.1,3.5,18.8,45949,26947,13.3,602,6986,83,2212,8437,62.3,416.34
Wallace County,KS,1506,1485,1.4,5.8,24.6,21.4,50.8,96.8,0.9,0.5,0.1,0,1.7,6.7,91.2,100,5,87.5,23.5,778,3.5,77.6,61900,0,611,2.54,93.4,8.6,15,47454,25429,8.4,0,0,0,62,4388,1.6,913.65
Logan County,NE,750,763,-1.7,6,24.1,18.4,50.3,97.6,0.1,1.5,0.1,0,0.7,2.1,95.5,54,0,93.1,19.9,395,0,72.5,101700,0,345,2.28,89.6,1.1,27.3,44417,22799,12.1,0,0,0,0,0,1.3,570.66
Jim Wells County,TX,41353,40838,1.3,8.1,28.2,14.1,50.6,96.5,1,1.1,0.6,0.1,0.8,79.7,18.7,2183,4.5,70.5,11.1,16220,9,72.7,69000,26,13728,2.96,86.1,50.2,24.2,40585,20452,21.7,460,0,1933,4623,11263,47.2,864.97
Atlantic County,NJ,275209,274549,0.2,6.1,22.1,15.8,51.6,71.3,17.3,0.7,8.2,0.1,2.5,18.5,56.8,16672,16.3,84.4,24.2,127375,31.9,68.2,237400,722,101091,2.64,88.7,25.9,23.9,54235,27391,14.4,60930,0,13421,44293,16409,494.1,555.7
Bleckley County,GA,12795,13063,-2.1,5.4,21.5,16.7,52.2,70.9,26.8,0.1,1,0,1.1,2.6,68.9,946,2,79.5,14.9,5276,10,71.3,79900,16,3955,2.9,82,3.2,26.3,36073,20156,23.3,66,0,168,763,5950,60.5,215.87
McLennan County,TX,243441,234906,3.6,7.1,24.8,13.4,51.2,80.3,15.1,1.1,1.6,0.1,1.8,25.2,57.3,16215,8.3,82.3,21.7,97280,23.6,59.6,108300,1468,84862,2.69,80.1,19.3,18.8,41922,21660,22,3752,58889,46062,29425,12892,226.5,1037.1
Goshen County,WY,13514,13249,2,5.6,20.1,20.5,47.9,95.9,1.2,1.1,0.7,0.1,1.1,10.4,86.2,1258,2.4,89.3,20.5,5952,6.1,75.7,139700,1,5255,2.4,81.9,6.7,15.9,43257,23475,18.3,117,1478,524,1161,9614,6,2225.39
Keith County,NE,8121,8368,-3,4.5,20.6,23.2,50,96.7,0.6,0.8,0.5,0,1.3,6.6,90.9,738,1.8,92,20.4,5378,6.3,70,91500,10,3786,2.15,81.6,3.1,15.3,41970,25097,11.2,227,0,546,2037,25472,7.9,1061.6
Hopkins County,TX,35921,35161,2.2,6.7,25.2,17.2,50.7,89,7.5,1,0.7,0.1,1.8,16.2,74.2,2731,8.3,80.2,15.7,15221,9.7,72.5,94000,8,13303,2.6,85.5,15.2,21,43657,21606,19.3,291,9231,0,4477,13159,45.8,767.17
Talladega County,AL,81322,82291,-1.2,5.5,22.3,16.1,51.4,65.2,32.5,0.4,0.4,0,1.5,2.3,63.4,6691,1.6,78.9,13,37177,11.6,71.2,92600,65,31486,2.5,85,2.8,23.9,35439,19410,22.9,670,90542,0,7307,9113,111.7,736.78
Hyde County,NC,5676,5810,-2.3,4.4,18,17.7,44.5,68,29.6,0.7,0.5,0,1.2,8,60.9,271,2.8,78.8,10.7,3353,7.1,77.6,76400,8,2148,2.34,83.8,5.3,19.9,42279,18408,25.6,168,0,234,266,5138,9.5,612.7
Thurston County,WA,265851,252264,5.4,6.1,22.1,15.2,50.9,82.9,3.4,1.7,5.7,1,5.2,8.4,76.3,29091,7.6,92.9,32.3,111807,17.7,66.8,244900,1003,100801,2.5,81.6,10.8,24.7,62229,29744,11.7,3466,8700,10033,31029,12999,349.4,721.96
Watauga County,NC,52560,51079,2.9,3.4,13.2,14.2,50,95.1,1.9,0.3,1.1,0,1.4,3.5,92.1,3180,3.5,89,37.9,32957,25.2,54.9,228700,243,20909,2.2,70.2,5.3,18.5,34293,21854,31.3,1314,1298,1692,7952,17836,163.4,312.56
Bullitt County,KY,77955,74319,4.9,5.2,23.1,13.6,50.5,96.7,1.1,0.3,0.6,0,1.2,1.7,95.2,5928,0.9,85,12.7,30461,8.3,82.2,145500,231,27874,2.69,89.1,1.7,27,54836,24308,10.2,730,0,8796,5005,6788,250.2,297.02
Bath County,VA,4563,4731,-3.5,3.8,16,25,49.3,93.5,5,0.2,0.4,0,1,1.8,92,396,3.8,90,20.2,3296,8.3,76.2,152600,4,2101,2.17,85.7,2.1,31.8,51365,28704,16.4,0,0,15,209,4498,8.9,529.16
Harrison County,MS,199058,187105,6.4,7,24.3,13.2,50.4,69.8,24,0.5,3,0.1,2.5,5.4,65.3,22647,4.5,85.6,20.7,89749,23.6,61,143000,1125,72253,2.57,79.1,6.7,21.7,43124,22677,19.9,16191,0,8397,29032,16472,326,573.99
Oswego County,NY,120913,122109,-1,5.5,21.6,14.5,50,96.3,1.1,0.5,0.7,0,1.3,2.3,94.4,9170,2.1,86.4,17.2,53694,16.6,72.4,93000,125,45325,2.57,85.8,4.2,23.9,48051,23126,17.4,1280,24412,2107,9941,8186,128.3,951.65
Concho County,TX,4050,4087,-0.9,3.4,12.9,15.7,30.1,94.9,2.6,0.6,0.4,0.1,1.4,56.3,40.7,267,30.3,71.2,10.8,1641,2.4,79.1,76100,0,857,3.29,74,35.2,24.9,51411,19976,16.5,43,0,0,176,4930,4.2,983.8
Wayne County,KY,20486,20813,-1.6,5.5,21.5,18.1,50.5,96.3,1.8,0.3,0.4,0.1,1.1,2.7,94,1247,1.2,69.8,9.8,10833,6.7,72.5,80500,0,8083,2.54,88.1,2.6,23.1,29497,16396,24.3,187,3788,235,1525,7412,45.4,458.17
Hickory County,MO,9219,9627,-4.2,3.9,17,31.9,51.1,96.7,0.4,0.8,0.2,0.1,1.8,1.4,95.5,1315,0.6,82.4,10.4,6732,1.9,82.8,98700,0,4219,2.23,89.4,2.6,32.6,29325,17361,21.6,16,0,0,499,5516,24.1,399.09
Greeley County,KS,1301,1247,4.3,7.7,24.6,20.9,50.9,97.2,0.5,1,0.3,0,0.9,17.6,80.4,88,3.2,91.7,21.9,631,3,80.3,78500,3,493,2.39,91.4,9.7,12,52847,32650,5.4,0,0,0,96,7406,1.6,778.45
Morris County,KS,5698,5923,-3.8,5.7,21.2,23.6,50.5,96.5,0.6,0.6,0.3,0,1.9,4.4,92.5,767,0.6,89.3,17.4,3192,5.6,78.4,81900,2,2503,2.32,89.1,2.3,23.4,47445,24680,8.3,46,0,91,449,7570,8.5,695.28
Scott County,IL,5204,5355,-2.8,5.1,22.3,18.6,51.9,98.1,0.5,0.2,0.2,0,1,1.2,97,427,0.6,89.8,13.7,2441,9.1,75.9,82900,0,2113,2.48,89.6,1.1,24.3,49669,24471,12.3,17,0,0,348,6686,21.3,250.91
Pike County,MS,40058,40404,-0.9,7,26.6,15.6,52.6,45.7,52.5,0.3,0.6,0,0.8,1.3,44.9,2235,1.2,78.2,15.8,17891,11.1,70.1,82200,1,14614,2.7,83.8,2.7,23.4,34841,18183,27.5,509,0,1887,5446,13694,98.8,409.02
Schoharie County,NY,31566,32749,-3.6,4.6,18.8,18.7,50.2,96.1,1.5,0.3,0.8,0,1.4,3.1,93.5,2798,2.4,87.5,19.3,17229,14.1,77.7,146000,18,12820,2.4,85.6,3.7,29.3,53245,26584,11.5,215,0,360,2689,8422,52.7,621.82
Montgomery County,KY,27474,26499,3.7,6.8,24.2,14.8,51.3,95.2,3,0.2,0.4,0,1.2,2.6,93.1,1618,0.9,78.7,14.6,11753,15.6,65.3,109300,56,10168,2.59,83.4,1.7,23.9,37312,20436,25,308,0,0,3557,14128,134.3,197.37
Waynesboro County,VA,21366,21006,1.6,7.5,23.8,17.4,52.6,83.7,11.7,0.5,0.9,0,3.2,7,77.8,1828,3.4,83.6,19.1,10030,26.5,58.2,165600,48,8708,2.41,84.3,4.9,19.5,44847,22872,19.9,488,7598,1131,3866,17871,1396.8,15.04
Osceola County,IA,6218,6462,-3.8,6,23.2,20.2,49.4,97.5,0.4,0.4,0.6,0.1,1,6.8,91.3,493,4.5,86.3,15.6,2968,5,74.9,75600,1,2676,2.33,87,6.4,18.9,48659,24653,8.6,0,0,0,405,6291,16.2,398.68
Eagle County,CO,52921,52197,1.4,6.1,23.2,8.1,47,95.1,1,1.4,1.2,0.1,1.2,30,67.1,1763,19.2,88.7,47,31528,38.9,66,453300,256,17966,2.9,87.8,29.6,20,74456,39497,10.9,4696,0,0,9287,18367,31,1684.53
Renville County,ND,2587,2470,4.7,6.6,22.4,18.9,47.4,96.8,0.7,0.5,0.5,0,1.5,2.3,94.9,268,2,93.3,17.2,1407,5.3,78.9,95200,8,1041,2.36,89.1,2.3,19.3,60847,31178,7,9,0,0,237,10513,2.8,877.05
Caldwell County,NC,81484,83029,-1.9,5.1,21.1,17.8,50.6,92.1,5.1,0.6,0.7,0.1,1.4,5,88,5602,2.7,75.7,12.5,37590,10,71.9,105800,164,31417,2.59,87.4,4.7,23.3,34357,19228,19.5,636,15584,2368,6486,8173,176.1,471.57
Mercer County,IL,15945,16434,-3,4.9,21.8,20.5,50.6,98.1,0.6,0.1,0.3,0,0.8,2.1,96.2,1471,1,90.5,14.7,7367,7.7,78.7,98100,6,6716,2.4,90.7,2.1,27.8,53136,26620,10.1,56,0,0,852,5191,29.3,561.2
Wilkinson County,MS,9191,9878,-7,6,21.7,15.5,46.6,28.9,70.2,0.2,0.2,0,0.5,0.7,28.6,386,0,71.9,11.8,5039,4.3,77.5,59400,0,3496,2.48,89.1,1,35.4,33618,18717,27.8,34,0,442,598,5857,14.6,678.11
Jenkins County,GA,9125,8340,9.4,5.7,22.6,15.3,46.8,54.6,43.2,0.4,0.5,0.2,1,5.1,51.2,605,2.6,72.6,13.1,4175,1.9,69.6,63400,10,3354,2.54,85.3,4.1,26.4,26104,17565,29.4,38,1168,0,539,6311,24,347.28
Harford County,MD,250105,244826,2.2,5.5,23,14.6,51,80.7,13.4,0.3,3,0.1,2.5,4.2,77.4,21099,4.9,92.4,32.7,98234,15.1,80.2,281800,860,90708,2.7,90.7,7.2,31.8,80622,35425,7.4,3618,20160,18713,33802,14066,560.1,437.09
Ware County,GA,35515,36312,-2.2,6.9,23.8,16.2,50.5,67.3,29.3,0.5,1.1,0.1,1.7,3.7,64.3,2528,3.4,80.4,13.9,16408,12.7,65.3,79600,94,13460,2.48,78.2,5.8,18.9,34572,18842,24.3,554,0,7626,6210,17285,40.7,892.46
Shelby County,IA,11948,12167,-1.8,5.6,22.7,22.4,50.8,97.7,0.5,0.4,0.4,0.1,0.8,2.3,95.6,1041,2,90.9,18.2,5561,11,77.7,104700,16,5083,2.33,90.1,2.8,18.5,48783,26387,10.8,86,0,1586,1351,10996,20.6,590.78
Nevada County,AR,8723,8997,-3,6.4,22.7,19.4,50.6,67.1,30.5,0.5,0.4,0.1,1.6,3.3,64.1,762,1,82.1,12.8,4542,5.9,73.1,64600,0,3622,2.41,87,2.7,25.1,33694,18695,26.5,32,0,0,1367,14660,14.6,617.84
Tarrant County,TX,1945360,1809034,7.5,7.3,27.1,10.2,51.1,75.2,16.2,0.9,5.3,0.2,2.3,27.8,49.3,118263,15.6,84.5,29.5,739329,27.7,61.7,136400,8985,659736,2.77,82.4,27.7,26,56853,28266,15.2,37635,433375,258015,249314,14582,2094.7,863.61
Coos County,OR,62475,63043,-0.9,4.9,18.5,24,50.7,90.9,0.6,2.9,1.2,0.2,4.2,6,85.9,8013,3.2,88,18,30393,12,66.1,177000,30,26072,2.36,80.8,4.4,19.4,37940,22239,17.8,835,2791,2607,7160,11339,39.5,1596.17
Petroleum County,MT,485,494,-1.8,2.3,21.9,21,45.4,98.4,0,0.6,0,0,1,1.2,97.1,70,0.4,96,15.4,327,3.3,76,83200,0,233,2.31,89,0.8,16.8,41705,22714,11.1,4,0,0,0,0,0.3,1654.87
Cullman County,AL,81289,80406,1.1,5.9,22.5,17.6,50.5,96.2,1.4,0.6,0.5,0,1.2,4.4,92.1,6167,3,79.8,14.8,37131,8.2,75,106100,77,31342,2.53,87,4.6,26.4,38847,20760,18.8,1022,13934,0,8670,10757,109.4,734.84
Carbon County,PA,64441,65249,-1.2,4.6,19.7,19.7,50.5,96.1,1.9,0.3,0.5,0.1,1.1,4.1,92.6,6219,2.9,87.4,15.1,34398,8.2,78.9,146700,70,25903,2.48,91.2,4.8,30.5,48900,24861,11.6,1047,5142,357,4839,7661,171.1,381.46
Warren County,KY,120460,113792,5.9,6.3,22.5,12,51.1,84.7,9.4,0.3,3.2,0.2,2.2,5.1,80.3,7460,7.6,86.6,28.4,49779,26.2,60.2,140700,603,44240,2.47,77,10,18.8,44135,23853,19.1,2312,0,0,16912,16186,210.1,541.6
Stanton County,KS,2111,2235,-5.5,7.9,27.9,16.6,49.7,94.8,0.9,2.3,0.3,0.2,1.5,36.2,60.9,76,19,76.9,18.5,980,4.1,77.7,81000,0,775,2.79,84.8,34.7,11.3,46382,21712,4,8,0,0,164,7701,3.3,680.35
Holt County,MO,4516,4912,-8.1,5.1,19.9,22.8,50.7,97.5,0.3,0.9,0.4,0,1,1,96.6,515,0.5,89.7,16.2,2783,9.4,71.6,78900,0,2218,2.1,85.1,1.6,20.3,42979,24127,12.3,39,0,846,357,7214,10.6,462.69
Oconee County,GA,35093,32808,6.9,5.3,26.8,13.5,51.1,89,5.4,0.3,3.9,0,1.3,4.6,84.9,2131,5,91.3,43.1,13147,6.6,78.9,238200,299,11485,2.88,91.7,7.4,23.7,75004,33801,9.3,388,0,729,3263,10357,178,184.29
Dorchester County,SC,148469,136555,8.7,6.5,25.5,11.7,51.2,68.8,25.9,0.7,1.8,0.1,2.5,4.9,64.9,14715,4.3,89.4,24.5,57688,16.7,70.7,167400,1055,50321,2.74,84.1,6.2,28.1,53857,24495,12.1,1040,23613,1701,8795,7092,238.2,573.23
Iberville Parish,LA,33327,33387,-0.2,6.2,21.7,13.6,48.8,49.4,49,0.2,0.5,0.1,0.9,2.6,47.6,1961,0.9,76.6,12.8,13004,4.6,77.1,93300,95,11192,2.64,86.4,3.8,24.6,45368,21177,19.2,178,76947,1499,2743,8337,54,618.63
Shoshone County,ID,12390,12765,-2.9,5.2,19.7,21.7,49.5,94.9,0.3,1.8,0.5,0.2,2.3,3.4,92.1,1605,1.7,84.8,13.5,6976,12.1,68.4,123200,7,5714,2.17,80.2,2.3,18.7,38440,20487,17.4,110,0,250,6231,48689,4.9,2629.67
