County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
Randolph,Alabama,426,Republican,9.3,328,Democrat,18.7,0,Republican,0,0,Republican,0,2352,Republican,51.6,1236,Democrat,70.6,0,Republican,0,133,Republican,2.9,584,Republican,12.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,942,Republican,20.7,0,,0,0,,0
Cook,Georgia,178,Republican,7.9,171,Democrat,22.5,0,Republican,0,0,Republican,0,1229,Republican,54.7,580,Democrat,76.2,0,Republican,0,46,Republican,2,240,Republican,10.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,519,Republican,23.1,0,,0,0,,0
Morgan,Kentucky,0,Republican,0,988,Democrat,57.3,0,Republican,0,0,Republican,0,70,Republican,42.7,544,Democrat,31.6,0,Republican,0,17,Republican,10.4,10,Republican,6.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,67,Republican,40.9,0,,0,0,,0
Sheridan,Wyoming,0,Republican,0,7,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,7,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Hart,Kentucky,0,Republican,0,1062,Democrat,51.6,0,Republican,0,0,Republican,0,355,Republican,46.3,817,Democrat,39.7,0,Republican,0,60,Republican,7.8,92,Republican,12,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,253,Republican,33,0,,0,0,,0
Frenchboro,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Merrimac,Massachusetts,33,Republican,3.2,778,Democrat,61.5,0,Republican,0,0,Republican,0,547,Republican,52.9,473,Democrat,37.4,0,Republican,0,183,Republican,17.7,165,Republican,15.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,86,Republican,8.3,5,,0.4,0,,0
Canton,Maine,0,Republican,0,2,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Oakfield,Maine,0,Republican,0,1,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,1,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Belfast,Maine,0,Republican,0,17,Democrat,70.8,0,Republican,0,0,Republican,0,0,Republican,0,7,Democrat,29.2,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
McCone,Montana,0,Republican,0,58,Democrat,47.2,0,Republican,0,0,Republican,0,410,Republican,81.2,65,Democrat,52.8,0,Republican,0,16,Republican,3.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,38,Republican,7.5,0,,0,0,,0
Cambridge,Vermont,16,Republican,4.8,696,Democrat,91.9,0,Republican,0,0,Republican,0,91,Republican,27.1,59,Democrat,7.8,0,Republican,0,111,Republican,33,73,Republican,21.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,32,Republican,9.5,0,,0,0,,0
Clinton,Connecticut,0,Republican,0,723,Democrat,52.8,0,Republican,0,0,Republican,0,705,Republican,60.9,632,Democrat,46.2,0,Republican,0,295,Republican,25.5,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,130,Republican,11.2,0,,0,0,,0
Mason,Washington,0,Republican,0,159,Democrat,73.6,0,Republican,0,0,Republican,0,5491,Republican,79.4,55,Democrat,25.5,0,Republican,0,500,Republican,7.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,693,Republican,10,0,,0,0,,0
Lowell,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Schleicher,Texas,37,Republican,7.2,24,Democrat,26.7,0,Republican,0,0,Republican,0,120,Republican,23.3,58,Democrat,64.4,0,Republican,0,12,Republican,2.3,64,Republican,12.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,266,Republican,51.8,0,,0,0,,0
Brookfield,Massachusetts,23,Republican,5,313,Democrat,62.7,0,Republican,0,0,Republican,0,258,Republican,56.2,177,Democrat,35.5,0,Republican,0,40,Republican,8.7,61,Republican,13.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,65,Republican,14.2,5,,1,0,,0
Fayston,Vermont,2,Republican,2.2,283,Democrat,87.1,0,Republican,0,0,Republican,0,22,Republican,24.2,42,Democrat,12.9,0,Republican,0,45,Republican,49.5,14,Republican,15.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,6,Republican,6.6,0,,0,0,,0
Macon,Tennessee,185,Republican,6,169,Democrat,32.1,0,Republican,0,0,Republican,0,1757,Republican,57.1,343,Democrat,65.2,0,Republican,0,46,Republican,1.5,283,Republican,9.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,743,Republican,24.1,0,,0,0,,0
Wayne,Indiana,0,Republican,0,2411,Democrat,54.4,0,Republican,0,0,Republican,0,6116,Republican,59.3,2025,Democrat,45.6,0,Republican,0,1021,Republican,9.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2937,Republican,28.5,0,,0,0,,0
Corinth,Maine,0,Republican,0,2,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Hull,Massachusetts,21,Republican,1.7,1219,Democrat,50.3,0,Republican,0,0,Republican,0,722,Republican,58.1,1166,Democrat,48.1,0,Republican,0,166,Republican,13.4,180,Republican,14.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,103,Republican,8.3,27,,1.1,0,,0
Watertown,Connecticut,0,Republican,0,771,Democrat,56.6,0,Republican,0,0,Republican,0,1430,Republican,69.5,538,Democrat,39.5,0,Republican,0,367,Republican,17.8,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,235,Republican,11.4,0,,0,0,,0
Lowell,Massachusetts,142,Republican,2.4,6836,Democrat,47.3,0,Republican,0,0,Republican,0,3469,Republican,59.7,7412,Democrat,51.2,0,Republican,0,685,Republican,11.8,796,Republican,13.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,495,Republican,8.5,99,,0.7,0,,0
Greenbush,Maine,0,Republican,0,2,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Taney,Missouri,0,Republican,0,1373,Democrat,52.9,0,Republican,0,0,Republican,0,5086,Republican,47.4,1199,Democrat,46.2,0,Republican,0,678,Republican,6.3,503,Republican,4.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4189,Republican,39.1,0,,0,0,,0
Alcona,Michigan,0,Republican,0,455,Democrat,47.9,0,Republican,0,0,Republican,0,1111,Republican,51.8,463,Democrat,48.7,0,Republican,0,340,Republican,15.9,138,Republican,6.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,460,Republican,21.5,0,,0,0,,0
Franklin,Virginia,591,Republican,7.2,980,Democrat,36.6,0,Republican,0,0,Republican,0,3650,Republican,44.6,1674,Democrat,62.6,0,Republican,0,430,Republican,5.3,1541,Republican,18.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1910,Republican,23.3,0,,0,0,,0
Bartow,Georgia,1130,Republican,6.3,1490,Democrat,39.7,0,Republican,0,0,Republican,0,8281,Republican,46.2,2216,Democrat,59,0,Republican,0,549,Republican,3.1,3259,Republican,18.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4504,Republican,25.1,0,,0,0,,0
Portland,Connecticut,0,Republican,0,558,Democrat,52.8,0,Republican,0,0,Republican,0,404,Republican,57.2,466,Democrat,44.1,0,Republican,0,214,Republican,30.3,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,78,Republican,11,0,,0,0,,0
Waterboro,Maine,0,Republican,0,10,Democrat,76.9,0,Republican,0,0,Republican,0,0,Republican,0,3,Democrat,23.1,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Burlington,Massachusetts,73,Republican,2.2,2129,Democrat,47,0,Republican,0,0,Republican,0,1747,Republican,52.1,2324,Democrat,51.4,0,Republican,0,487,Republican,14.5,631,Republican,18.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,342,Republican,10.2,41,,0.9,0,,0
Jackson,Missouri,0,Republican,0,42823,Democrat,46.4,0,Republican,0,0,Republican,0,26714,Republican,37.3,48860,Democrat,52.9,0,Republican,0,9426,Republican,13.2,5016,Republican,7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,28661,Republican,40,0,,0,0,,0
McKinley,New Mexico,0,Republican,0,3299,Democrat,40.9,0,Republican,0,0,Republican,0,755,Republican,54.7,4761,Democrat,59.1,0,Republican,0,88,Republican,6.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,294,Republican,21.3,0,,0,0,,0
Eastbrook,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Harnett,North Carolina,0,Republican,0,3111,Democrat,36.8,0,Republican,0,0,Republican,0,4943,Republican,44.3,4655,Democrat,55.1,0,Republican,0,656,Republican,5.9,630,Republican,5.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4670,Republican,41.8,0,,0,0,,0
Fayette,Alabama,488,Republican,9.8,148,Democrat,17.2,0,Republican,0,0,Republican,0,2479,Republican,49.9,660,Democrat,76.7,0,Republican,0,124,Republican,2.5,663,Republican,13.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1043,Republican,21,0,,0,0,,0
Stockbridge,Vermont,1,Republican,1.3,132,Democrat,85.7,0,Republican,0,0,Republican,0,19,Republican,25,22,Democrat,14.3,0,Republican,0,36,Republican,47.4,10,Republican,13.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,7,Republican,9.2,0,,0,0,,0
Scott,Indiana,0,Republican,0,1288,Democrat,44.8,0,Republican,0,0,Republican,0,1929,Republican,65.1,1588,Democrat,55.2,0,Republican,0,100,Republican,3.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,867,Republican,29.2,0,,0,0,,0
Maverick,Texas,18,Republican,4.1,1508,Democrat,24.2,0,Republican,0,0,Republican,0,143,Republican,32.6,4342,Democrat,69.5,0,Republican,0,3,Republican,0.7,88,Republican,20,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,171,Republican,39,0,,0,0,,0
Marshfield,Massachusetts,75,Republican,1.8,2383,Democrat,52.9,0,Republican,0,0,Republican,0,2205,Republican,53.8,2093,Democrat,46.5,0,Republican,0,725,Republican,17.7,641,Republican,15.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,389,Republican,9.5,0,,0,0,,0
Quincy,Massachusetts,140,Republican,2,8218,Democrat,50.3,0,Republican,0,0,Republican,0,3709,Republican,54.2,7770,Democrat,47.6,0,Republican,0,1041,Republican,15.2,1097,Republican,16,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,629,Republican,9.2,164,,1,0,,0
Williamsburg,South Carolina,152,Republican,5.5,557,Democrat,10.7,0,Republican,0,0,Republican,0,1186,Republican,43.3,4609,Democrat,88.5,230,Republican,8.4,76,Republican,2.8,520,Republican,19,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,575,Republican,21,0,,0,0,,0
Dennysville,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Berrien,Georgia,179,Republican,6.3,146,Democrat,30,0,Republican,0,0,Republican,0,1563,Republican,55.2,325,Democrat,66.7,0,Republican,0,66,Republican,2.3,241,Republican,8.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,718,Republican,25.4,0,,0,0,,0
Sherman,Oregon,0,Republican,0,81,Democrat,54.7,0,Republican,0,0,Republican,0,279,Republican,72.8,67,Democrat,45.3,0,Republican,0,45,Republican,11.7,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,59,Republican,15.4,0,,0,0,,0
Danville,Vermont,9,Republican,3.3,371,Democrat,85.7,0,Republican,0,0,Republican,0,85,Republican,31.6,55,Democrat,12.7,0,Republican,0,86,Republican,32,52,Republican,19.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,28,Republican,10.4,0,,0,0,,0
Gadsden,Florida,0,Republican,0,1944,Democrat,20,0,Republican,0,0,Republican,0,995,Republican,41.8,7446,Democrat,76.4,0,Republican,0,110,Republican,4.6,462,Republican,19.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,742,Republican,31.2,0,,0,0,,0
Washington Cty Townships,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Henry,Missouri,0,Republican,0,696,Democrat,46.1,0,Republican,0,0,Republican,0,1636,Republican,44.5,780,Democrat,51.7,0,Republican,0,354,Republican,9.6,191,Republican,5.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1395,Republican,38,0,,0,0,,0
Stephens,Georgia,372,Republican,8.9,284,Democrat,37.5,0,Republican,0,0,Republican,0,1726,Republican,41.5,460,Democrat,60.7,0,Republican,0,157,Republican,3.8,919,Republican,22.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,883,Republican,21.2,0,,0,0,,0
Lawrence,Missouri,0,Republican,0,1028,Democrat,53.5,0,Republican,0,0,Republican,0,3135,Republican,37.9,872,Democrat,45.3,0,Republican,0,429,Republican,5.2,264,Republican,3.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4235,Republican,51.2,0,,0,0,,0
Naples,Maine,0,Republican,0,5,Democrat,62.5,0,Republican,0,0,Republican,0,0,Republican,0,3,Democrat,37.5,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Ste. Genevieve,Missouri,0,Republican,0,798,Democrat,47.6,0,Republican,0,0,Republican,0,1080,Republican,44.4,842,Democrat,50.3,0,Republican,0,176,Republican,7.2,124,Republican,5.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,997,Republican,41,0,,0,0,,0
Grand,Colorado,0,Republican,0,187,Democrat,63.8,0,Republican,0,0,Republican,0,0,Republican,0,94,Democrat,32.1,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Bremer,Iowa,134,Republican,9,544,Democrat,45.3,24,Republican,1.6,16,Republican,1.1,347,Republican,23.3,640,Democrat,53.3,38,Republican,2.6,50,Republican,3.4,389,Republican,26.1,16,Democrat,1.3,19,Republican,1.3,46,Republican,3.1,19,Republican,1.3,408,Republican,27.4,0,,0,0,,0
Marion,South Carolina,140,Republican,4.9,552,Democrat,14,0,Republican,0,0,Republican,0,1206,Republican,42.5,3359,Democrat,85.4,215,Republican,7.6,100,Republican,3.5,436,Republican,15.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,740,Republican,26.1,0,,0,0,,0
Aiken,South Carolina,2613,Republican,9.1,2870,Democrat,29.3,0,Republican,0,0,Republican,0,9027,Republican,31.6,6888,Democrat,70.2,1207,Republican,4.2,1904,Republican,6.7,6804,Republican,23.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,7036,Republican,24.6,0,,0,0,,0
Garfield Plt.,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Otisfield,Maine,0,Republican,0,3,Democrat,75,0,Republican,0,0,Republican,0,0,Republican,0,1,Democrat,25,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Page,Virginia,195,Republican,7.2,353,Democrat,46,0,Republican,0,0,Republican,0,1377,Republican,51,411,Democrat,53.6,0,Republican,0,125,Republican,4.6,551,Republican,20.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,426,Republican,15.8,0,,0,0,,0
Onslow,North Carolina,0,Republican,0,3213,Democrat,38.2,0,Republican,0,0,Republican,0,8343,Republican,48.4,4560,Democrat,54.2,0,Republican,0,1491,Republican,8.6,1162,Republican,6.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,5686,Republican,33,0,,0,0,,0
Avoyelles,Louisiana,0,Republican,0,455,Democrat,24.7,0,Republican,0,0,Republican,0,885,Republican,56.7,1181,Democrat,64,0,Republican,0,63,Republican,4,119,Republican,7.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,455,Republican,29.2,0,,0,0,,0
Torrance,New Mexico,0,Republican,0,651,Democrat,50.1,0,Republican,0,0,Republican,0,1016,Republican,70.7,649,Democrat,49.9,0,Republican,0,57,Republican,4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,270,Republican,18.8,0,,0,0,,0
Sterling,Connecticut,0,Republican,0,124,Democrat,68.9,0,Republican,0,0,Republican,0,175,Republican,75.4,52,Democrat,28.9,0,Republican,0,33,Republican,14.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,20,Republican,8.6,0,,0,0,,0
Talmadge,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Stockbridge,Massachusetts,12,Republican,8.3,305,Democrat,48.8,0,Republican,0,0,Republican,0,43,Republican,29.7,319,Democrat,51,0,Republican,0,26,Republican,17.9,34,Republican,23.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,24,Republican,16.6,0,,0,0,,0
Cass,Indiana,0,Republican,0,1655,Democrat,59.3,0,Republican,0,0,Republican,0,3941,Republican,56.9,1137,Democrat,40.7,0,Republican,0,411,Republican,5.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2362,Republican,34.1,0,,0,0,,0
Middletown,Rhode Island,0,Republican,0,975,Democrat,57.5,0,Republican,0,0,Republican,0,524,Republican,54.1,693,Democrat,40.9,0,Republican,0,288,Republican,29.8,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,136,Republican,14,0,,0,0,,0
Perquimans,North Carolina,0,Republican,0,481,Democrat,34.8,0,Republican,0,0,Republican,0,726,Republican,44.1,711,Democrat,51.4,0,Republican,0,202,Republican,12.3,135,Republican,8.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,531,Republican,32.2,0,,0,0,,0
Oak Bluffs,Massachusetts,14,Republican,3.4,639,Democrat,52.1,0,Republican,0,0,Republican,0,224,Republican,54.9,582,Democrat,47.4,0,Republican,0,53,Republican,13,61,Republican,15,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,35,Republican,8.6,2,,0.2,0,,0
Stanly,North Carolina,0,Republican,0,1813,Democrat,41.4,0,Republican,0,0,Republican,0,5202,Republican,49.2,2153,Democrat,49.1,0,Republican,0,747,Republican,7.1,586,Republican,5.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,3607,Republican,34.1,0,,0,0,,0
Peach,Georgia,259,Republican,8.5,316,Democrat,15.8,0,Republican,0,0,Republican,0,1325,Republican,43.4,1675,Democrat,83.7,0,Republican,0,124,Republican,4.1,516,Republican,16.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,794,Republican,26,0,,0,0,,0
Poinsett,Arkansas,155,Republican,5.8,228,Democrat,23,0,Republican,0,0,Republican,0,1036,Republican,38.5,717,Democrat,72.4,0,Republican,0,69,Republican,2.6,473,Republican,17.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,901,Republican,33.5,0,,0,0,,0
Lawrence,Massachusetts,46,Republican,2.8,2552,Democrat,27.9,0,Republican,0,0,Republican,0,970,Republican,58.2,6495,Democrat,71,0,Republican,0,144,Republican,8.6,259,Republican,15.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,175,Republican,10.5,35,,0.4,0,,0
Hancock,Massachusetts,8,Republican,7.8,54,Democrat,50.9,0,Republican,0,0,Republican,0,42,Republican,40.8,51,Democrat,48.1,0,Republican,0,12,Republican,11.7,14,Republican,13.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,24,Republican,23.3,1,,0.9,0,,0
Union,Georgia,414,Republican,7,417,Democrat,41,0,Republican,0,0,Republican,0,2691,Republican,45.6,573,Democrat,56.3,0,Republican,0,270,Republican,4.6,1037,Republican,17.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1412,Republican,23.9,0,,0,0,,0
Buffalo,Nebraska,0,Republican,0,468,Democrat,69.2,0,Republican,0,0,Republican,0,3748,Republican,63.3,208,Democrat,30.8,0,Republican,0,586,Republican,9.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,986,Republican,16.7,0,,0,0,,0
Wilbarger,Texas,171,Republican,7.2,75,Democrat,33.9,0,Republican,0,0,Republican,0,729,Republican,30.7,136,Democrat,61.5,0,Republican,0,78,Republican,3.3,332,Republican,14,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,923,Republican,38.9,0,,0,0,,0
Alna,Maine,0,Republican,0,2,Democrat,66.7,0,Republican,0,0,Republican,0,0,Republican,0,1,Democrat,33.3,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Benewah,Idaho,0,Republican,0,49,Democrat,69,0,Republican,0,0,Republican,0,428,Republican,32.8,20,Democrat,28.2,0,Republican,0,80,Republican,6.1,87,Republican,6.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,671,Republican,51.4,0,,0,0,,0
Charleston,Vermont,3,Republican,3.4,117,Democrat,88,0,Republican,0,0,Republican,0,40,Republican,45.5,14,Democrat,10.5,0,Republican,0,16,Republican,18.2,17,Republican,19.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,10,Republican,11.4,0,,0,0,,0
Old Lyme,Connecticut,0,Republican,0,434,Democrat,47,0,Republican,0,0,Republican,0,470,Republican,52,476,Democrat,51.5,0,Republican,0,326,Republican,36.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,89,Republican,9.9,0,,0,0,,0
Norton,Massachusetts,65,Republican,2.9,1409,Democrat,53.8,0,Republican,0,0,Republican,0,1211,Republican,53.7,1186,Democrat,45.2,0,Republican,0,321,Republican,14.2,387,Republican,17.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,222,Republican,9.8,15,,0.6,0,,0
Landgrove,Vermont,0,Republican,0,32,Democrat,72.7,0,Republican,0,0,Republican,0,5,Republican,31.3,12,Democrat,27.3,0,Republican,0,8,Republican,50,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1,Republican,6.3,0,,0,0,,0
Franklin,Florida,0,Republican,0,647,Democrat,45.7,0,Republican,0,0,Republican,0,629,Republican,51.6,665,Democrat,47,0,Republican,0,73,Republican,6,249,Republican,20.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,246,Republican,20.2,0,,0,0,,0
Palo Alto,Iowa,40,Republican,9.3,186,Democrat,46.6,9,Republican,2.1,6,Republican,1.4,117,Republican,27.1,213,Democrat,53.4,14,Republican,3.2,5,Republican,1.2,94,Republican,21.8,0,Democrat,0,17,Republican,3.9,15,Republican,3.5,5,Republican,1.2,110,Republican,25.5,0,,0,0,,0
Cumberland,Illinois,0,Republican,0,517,Democrat,56.3,0,Republican,0,0,Republican,0,1081,Republican,40.3,364,Democrat,39.6,0,Republican,0,228,Republican,8.5,158,Republican,5.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1081,Republican,40.3,0,,0,0,,0
Monkton,Vermont,5,Republican,2.3,524,Democrat,91.8,0,Republican,0,0,Republican,0,65,Republican,29.7,46,Democrat,8.1,0,Republican,0,54,Republican,24.7,44,Republican,20.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,38,Republican,17.4,0,,0,0,,0
Curry,New Mexico,0,Republican,0,768,Democrat,53.3,0,Republican,0,0,Republican,0,2583,Republican,78.1,672,Democrat,46.7,0,Republican,0,126,Republican,3.8,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,354,Republican,10.7,0,,0,0,,0
