County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
Monroe,Alabama,373,Republican,9.9,205,Democrat,7.6,0,Republican,0,0,Republican,0,1966,Republican,52.1,2438,Democrat,90.9,0,Republican,0,108,Republican,2.9,596,Republican,15.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,658,Republican,17.4,0,,0,0,,0
Henry,Virginia,417,Republican,7.2,664,Democrat,26.7,0,Republican,0,0,Republican,0,2920,Republican,50.4,1809,Democrat,72.7,0,Republican,0,193,Republican,3.3,1092,Republican,18.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1132,Republican,19.5,0,,0,0,,0
New Limerick,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Staten Island,New York,0,Republican,0,14340,Democrat,47.1,0,Republican,0,0,Republican,0,20263,Republican,82.1,16127,Democrat,52.9,0,Republican,0,2502,Republican,10.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1923,Republican,7.8,0,,0,0,,0
Newport,Vermont,24,Republican,6.7,477,Democrat,84.7,0,Republican,0,0,Republican,0,124,Republican,34.6,84,Democrat,14.9,0,Republican,0,100,Republican,27.9,71,Republican,19.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,32,Republican,8.9,0,,0,0,,0
Tift,Georgia,433,Republican,7.7,344,Democrat,22.7,0,Republican,0,0,Republican,0,2697,Republican,47.8,1151,Democrat,75.9,0,Republican,0,226,Republican,4,920,Republican,16.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1286,Republican,22.8,0,,0,0,,0
Benson,Vermont,3,Republican,2.6,159,Democrat,89.3,0,Republican,0,0,Republican,0,53,Republican,45.3,19,Democrat,10.7,0,Republican,0,23,Republican,19.7,17,Republican,14.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,16,Republican,13.7,0,,0,0,,0
Clay,Arkansas,48,Republican,5.8,656,Democrat,35.5,0,Republican,0,0,Republican,0,339,Republican,40.7,960,Democrat,52,0,Republican,0,15,Republican,1.8,136,Republican,16.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,276,Republican,33.1,0,,0,0,,0
Central Falls,Rhode Island,0,Republican,0,580,Democrat,39.9,0,Republican,0,0,Republican,0,93,Republican,73.8,850,Democrat,58.5,0,Republican,0,17,Republican,13.5,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,14,Republican,11.1,0,,0,0,,0
Boulder,Colorado,0,Republican,0,11142,Democrat,63.6,0,Republican,0,0,Republican,0,0,Republican,0,6354,Democrat,36.3,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
